# gene name,C1,C2,C3,C4,E1,E2,E3,E4
arsB,3.68E-04,4.94E-04,5.54E-04,4.53E-04,3.33E-04,3.20E-04,3.22E-04,2.26E-04
trs5_1,3.57E-03,4.81E-03,4.97E-03,4.73E-03,2.73E-03,3.63E-03,3.31E-03,2.57E-03
tap,3.24E-04,3.73E-04,3.35E-04,3.09E-04,2.41E-04,2.54E-04,3.05E-04,2.27E-04
treR,3.33E-05,1.90E-05,4.37E-05,3.91E-05,7.01E-06,4.40E-06,1.37E-05,1.96E-05
malZ,2.47E-04,3.40E-04,4.25E-04,3.78E-04,1.37E-04,2.08E-04,2.47E-04,1.48E-04
cydB,3.22E-04,3.72E-04,3.36E-04,3.57E-04,4.77E-04,3.72E-04,4.48E-04,4.80E-04
trs5_2,3.20E-03,3.82E-03,4.36E-03,4.23E-03,2.34E-03,3.00E-03,3.16E-03,2.43E-03
frdA,2.52E-04,2.67E-04,3.82E-04,3.60E-04,1.81E-04,2.02E-04,2.21E-04,1.71E-04
glvC,4.41E-04,4.61E-04,4.26E-04,3.89E-04,3.68E-04,3.29E-04,3.65E-04,2.70E-04
cls,4.41E-04,4.19E-04,4.34E-04,4.10E-04,5.09E-04,5.88E-04,5.51E-04,4.58E-04
cydC,6.17E-04,7.05E-04,7.75E-04,7.41E-04,5.54E-04,6.27E-04,5.69E-04,5.17E-04
surA,2.68E-04,2.40E-04,2.37E-04,2.77E-04,3.40E-04,2.98E-04,2.96E-04,3.68E-04
pncB,3.71E-04,3.21E-04,2.39E-04,2.74E-04,7.20E-04,5.13E-04,4.01E-04,5.84E-04
rfaH,1.12E-04,1.30E-04,1.49E-04,9.19E-05,8.61E-05,7.48E-05,6.65E-05,7.68E-05
yefM,5.93E-05,5.09E-05,1.43E-05,1.92E-05,9.48E-05,9.28E-05,6.03E-05,8.64E-05
fimA,4.87E-04,2.72E-04,1.62E-04,4.19E-04,9.89E-05,9.30E-05,8.83E-05,3.24E-05
menD,5.70E-05,7.29E-05,1.11E-04,8.71E-05,4.49E-05,3.72E-05,4.47E-05,4.18E-05
pckA,3.37E-04,3.47E-04,4.35E-04,4.10E-04,2.95E-04,3.01E-04,3.05E-04,2.40E-04
galR,2.75E-04,2.50E-04,2.60E-04,3.35E-04,3.15E-04,3.90E-04,3.97E-04,3.89E-04
glmS,4.82E-04,5.37E-04,6.21E-04,5.20E-04,3.95E-04,4.36E-04,4.49E-04,4.45E-04
nlpD,2.34E-03,2.58E-03,1.30E-03,1.72E-03,4.22E-03,4.15E-03,2.96E-03,2.92E-03
yiaT,1.66E-04,1.73E-04,2.15E-04,2.04E-04,1.39E-04,1.23E-04,1.46E-04,1.59E-04
frvB,5.69E-04,6.33E-04,7.68E-04,7.44E-04,5.37E-04,5.34E-04,4.99E-04,4.57E-04
baeS,6.83E-05,5.10E-05,8.68E-05,8.52E-05,5.12E-05,2.96E-05,4.01E-05,4.15E-05
purR,3.45E-04,2.74E-04,2.70E-04,2.62E-04,3.64E-04,3.74E-04,3.42E-04,4.25E-04
dacB,2.73E-04,3.35E-04,3.77E-04,3.47E-04,2.63E-04,2.58E-04,2.27E-04,1.71E-04
uraA,1.55E-04,1.98E-04,2.76E-04,3.22E-04,9.57E-05,1.10E-04,1.20E-04,1.11E-04
yjeQ,4.40E-04,4.08E-04,3.89E-04,4.26E-04,4.93E-04,4.40E-04,4.65E-04,4.91E-04
ycgC,2.53E-05,3.32E-05,3.84E-05,3.14E-05,7.30E-05,5.41E-05,4.04E-05,7.11E-05
ilvG_2,1.23E-04,1.17E-04,1.78E-04,1.98E-04,2.58E-04,2.88E-04,2.68E-04,4.41E-04
ompX,4.57E-04,3.13E-04,6.60E-05,1.78E-04,5.36E-04,5.94E-04,6.19E-04,9.42E-04
emrB,8.51E-04,8.95E-04,7.50E-04,8.50E-04,7.46E-04,6.92E-04,7.03E-04,7.49E-04
malF,3.66E-04,4.97E-04,6.29E-04,5.74E-04,2.28E-04,3.36E-04,3.68E-04,2.44E-04
yjiM,1.27E-04,1.43E-04,2.25E-04,2.00E-04,7.34E-05,9.48E-05,1.16E-04,7.13E-05
trs5_7,3.16E-03,3.24E-03,3.99E-03,3.66E-03,2.00E-03,2.99E-03,2.75E-03,1.94E-03
hydG,7.39E-04,6.85E-04,7.95E-04,7.86E-04,6.35E-04,6.38E-04,6.59E-04,5.10E-04
crp,2.05E-04,1.44E-04,1.04E-04,1.42E-04,3.50E-04,2.51E-04,2.17E-04,3.95E-04
purK,2.07E-04,1.85E-04,2.14E-04,2.26E-04,1.71E-04,1.37E-04,1.86E-04,1.34E-04
trkH,1.08E-04,1.74E-04,2.47E-04,2.67E-04,4.59E-05,8.69E-05,1.03E-04,3.17E-05
amiB,2.42E-04,3.11E-04,3.62E-04,3.36E-04,1.81E-04,2.01E-04,2.53E-04,2.20E-04
yhbU,6.37E-04,6.82E-04,5.85E-04,6.26E-04,5.12E-04,5.74E-04,5.76E-04,5.34E-04
yaeD,1.02E-04,1.23E-04,1.37E-04,1.48E-04,1.64E-04,2.06E-04,2.06E-04,1.55E-04
dctA,3.25E-04,3.58E-04,4.82E-04,5.44E-04,2.37E-04,2.53E-04,2.90E-04,2.29E-04
rpoS,4.69E-04,3.88E-04,1.87E-04,2.96E-04,1.27E-03,7.05E-04,5.73E-04,9.59E-04
gltF,2.00E-04,2.26E-04,1.37E-04,1.40E-04,1.25E-04,9.23E-05,8.26E-05,8.78E-05
yciI,1.32E-04,1.43E-04,6.51E-05,8.22E-05,2.11E-04,1.87E-04,1.41E-04,2.03E-04
trs5_3,2.89E-03,3.59E-03,3.71E-03,3.64E-03,2.10E-03,2.82E-03,2.95E-03,2.45E-03
lacZ,7.80E-04,8.48E-04,7.62E-04,8.48E-04,1.88E-03,1.55E-03,1.18E-03,2.63E-03
